"Temp. 
(K)",Pressure (bar),Density (kg m-3),"Thermal Expan. 
(10-4 K-1)",Isothermal Compress. (10-6 bar-1),"Isobaric 
Heat 
Capacity 
(cal/mol/K)"
249.15,1.01325,990.497,-8.877,67.985,19.177
253.15,1.01325,993.547,-6.606,63.996,18.777
257.15,1.01325,995.816,-4.874,60.783,18.532
261.15,1.01325,997.476,-3.506,58.116,18.38
265.15,1.01325,998.647,-2.395,55.851,18.28
269.15,1.01325,999.414,-1.469,53.893,18.21
273.15,1.01325,999.84,-0.68,52.176,18.157
277.15,1.01325,999.972,0.003,50.653,18.115
281.15,1.01325,999.848,0.604,49.288,18.08
285.15,1.01325,999.497,1.141,48.056,18.052
289.15,1.01325,998.943,1.626,46.934,18.03
293.15,1.01325,998.204,2.068,45.892,18.015
298.15,1.01325,997.045,2.572,45.247,18.002
301.15,1.01325,996.234,2.853,44.943,17.998
305.15,1.01325,995.026,3.206,44.622,17.995
309.15,1.01325,993.684,3.539,44.39,17.995
313.15,1.01325,992.216,3.853,44.239,17.996
317.15,1.01325,990.628,4.152,44.162,17.999
321.15,1.01325,988.927,4.438,44.153,18.002
325.15,1.01325,987.119,4.712,44.209,18.006
329.15,1.01325,985.208,4.975,44.324,18.011
333.15,1.01325,983.199,5.231,44.496,18.018
337.15,1.01325,981.095,5.478,44.723,18.026
341.15,1.01325,978.9,5.719,45.003,18.035
345.15,1.01325,976.617,5.954,45.333,18.046
349.15,1.01325,974.249,6.185,45.714,18.058
353.15,1.01325,971.798,6.411,46.143,18.071
357.15,1.01325,969.266,6.633,46.621,18.086
361.15,1.01325,966.655,6.853,47.148,18.101
365.15,1.01325,963.966,7.071,47.722,18.117
369.15,1.01325,961.202,7.287,48.346,18.134
373.15,1.01325,958.364,7.501,49.019,18.151
380,1.317225,953.327,7.876,50.205,18.195
390,1.82385,945.624,8.41,52.326,18.261
400,2.4318,937.486,8.951,54.786,18.337
410,3.343725,928.921,9.505,57.641,18.425
420,4.356975,919.929,10.078,60.905,18.525
430,5.6742,910.507,10.679,64.63,18.639
440,7.2954,900.649,11.314,68.948,18.769
450,9.3219,890.341,11.992,73.844,18.918
298.15,1000,1037.872,3.502,35.723,17.123
298.15,2000,1071.908,4.044,29.215,16.703
298.15,3000,1101.035,4.305,24.666,16.492
298.15,4000,1126.58,4.407,21.371,16.375
298.15,5000,1149.422,4.425,18.888,16.301
298.15,6000,1170.147,4.4,16.931,16.251
298.15,7000,1189.159,4.355,15.355,16.216
298.15,8000,1206.748,4.3,14.05,16.195
298.15,9000,1223.131,4.241,12.949,16.186
